Symbol,Type
PA,gainers
DI,gainers
SH,gainers
PKIUF,gainers
NA,gainers
DI,gainers
ENPSX,mutualfunds
ENPIX,mutualfunds
HFMDX,mutualfunds
HIMDX,mutualfunds
FIKAX,mutualfunds
FSENX,mutualfunds
FANAX,mutualfunds
FANIX,mutualfunds
FAGNX,mutualfunds
FNRCX,mutualfunds
QLERX,mutualfunds
FUGIX,mutualfunds
FUGAX,mutualfunds
FUGCX,mutualfunds
FAUFX,mutualfunds
FSUTX,mutualfunds
FIKIX,mutualfunds
QLEIX,mutualfunds
RMLPX,mutualfunds
INAAX,mutualfunds
INDAX,mutualfunds
INFCX,mutualfunds
INDIX,mutualfunds
WWWFX,mutualfunds
KINAX,mutualfunds
NCTKY,losers
UNPSF,losers
W,losers
R,losers
FBASF,losers
CH,losers
BB,losers
TCCPY,losers
LKNCY,losers
GME,losers
TXG,losers
TTC,losers
AS,losers
S,losers
FR,losers
BI,losers
PAM,losers
TGS,losers
HQY,losers
VFS,losers
AFLYY,losers
AEO,losers
FLMMF,losers
CR,losers
TO,losers
TS,auto_manufacturers
T,auto_manufacturers
ST,auto_manufacturers
HMC,auto_manufacturers
RA,auto_manufacturers
F,auto_manufacturers
G,auto_manufacturers
VFS,auto_manufacturers
L,auto_manufacturers
RI,auto_manufacturers
NIO,auto_manufacturers
XP,auto_manufacturers
LC,auto_manufacturers
FSR,auto_manufacturers
LV,auto_manufacturers
NV,growth_technology_stocks
B,growth_technology_stocks
C,growth_technology_stocks
DLO,growth_technology_stocks
OU,growth_technology_stocks
FT,growth_technology_stocks
EX,growth_technology_stocks
SE,growth_technology_stocks
PSN,growth_technology_stocks
AL,growth_technology_stocks
PC,growth_technology_stocks
AN,growth_technology_stocks
PA,growth_technology_stocks
AD,growth_technology_stocks
HU,growth_technology_stocks
SM,growth_technology_stocks
PL,growth_technology_stocks
GEN,growth_technology_stocks
BK,growth_technology_stocks
HKD,growth_technology_stocks
EG,growth_technology_stocks
VLD,growth_technology_stocks
LS,growth_technology_stocks
MET,insurance_life
AFL,insurance_life
MET,insurance_life
MET,insurance_life
PRU,insurance_life
MFC,insurance_life
PUK,insurance_life
G,insurance_life
UNM,insurance_life
PRI,insurance_life
LNC,insurance_life
AEL,insurance_life
BHFAP,insurance_life
F,insurance_life
BHF,insurance_life
JXN,insurance_life
CNO,insurance_life
GNW,insurance_life
NW,insurance_life
BHFAO,insurance_life
AEL,insurance_life
BHFAM,insurance_life
AEL,insurance_life
BHFAN,insurance_life
MET,insurance_life
